##	P3MT /B3LYP / 6-311G** lambda frei						
##	molA	molA	molA	molA	molA	molA	molA
##	R1=OptS0_n_${monomerA}	R2=OptS0_el_${monomerA}	R3=OptS0_lo_${monomerA}	R7=SCF_el_OptS0_n_${monomerA}	R8=SCF_lo_OptS0_n_${monomerA}	R9=SCF_n_OptS0_el_${monomerA}	R10=SCF_n_OptS0_lo_${monomerA}
##	UnN_i		UcC_i		UcN_i		UnC_i
PM01A 	-16120.0636	   -16118.6767	   -16111.6985	   -16118.3228	   -16111.4712	   -16119.4092	      -16119.8190
PM02A 	-32207.5251	   -32207.3606	   -32200.4677	   -32207.0298	   -32200.0794	   -32207.2844	      -32207.2844
PM03A 	-48294.9975	   -48295.4617	   -48288.5522	   -48295.1018	   -48288.1023	   -48294.8088	      -48294.8001
PM04A 	-64382.4770	   -64383.3094	   -64376.3843	   -64383.0093	   -64376.0330	   -64382.2929	      -64382.2810
PM05A 	-80469.9502	   -80471.0178	   -80464.0652	   -80470.6832	   -80463.6577	   -80469.7582	      -80469.7396
PM06A 	-96557.4238	   -96558.6708	   -96551.6918	   -96558.3166	   -96551.2766	   -96557.2288	      -96557.2267
PM07A 	-112644.9142	-112646.2854	-112639.3014	-112645.9785	-112638.9573	-112644.7402	-112644.7120
PM08A 	-128732.3763	-128733.8585	-128726.8534	-128733.5346	-128726.4767	-128732.2094	-128732.2006
PM09A 	-144819.8617	-144821.4125	-144814.4266	-144821.1381	-144814.0964	-144819.7036	-144819.6830
PM10A 	-160907.3171	-160908.9430	-160901.9315	-160908.5829	-160901.5214	-160907.1712	-160907.1588
PM11A 	-176994.8071	-176996.4775	-176989.4587	-176996.1888	-176989.1282	-176994.6644	-176994.6578
PM12A 	-193082.2939	-193083.9807	-193076.9501	-193083.7322	-193076.6691	-193082.1474	-193082.1233
PM13A 	-209169.7623	-209171.4629	-209164.4456	-209171.2333	-209164.1830	-209169.6151	-209169.6010
PM14A 	-225257.2427	-225258.9886	-225251.9490	-225258.7538	-225251.6909	-225257.1073	-225257.0971
PM15A 	-241344.7279	-241346.4926	-241339.4534	-241346.2667	-241339.2126	-241344.5665	-241344.5705
PM16A 	-257432.1819	-257434.0178	-257426.9628	-257433.7531	-257426.6958	-257432.0699	-257432.0558
PM17A 	-273519.6884	-273521.4805	-273514.4607	-273521.2957	-273514.2408	-273519.5717	-273519.5590
PM18A 	-289607.1498	-289608.9966	-289601.9690	-289608.7993	-289601.7220	-289607.0394	-289607.0417
PM19A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM20A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM21A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM22A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM23A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM24A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM25A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM26A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM27A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM28A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM29A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM30A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM31A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
PM32A 	-305694.6213	-305696.4962	-305689.4719	-305696.2874	-305689.2125	-305694.5262	-305694.5219
DIPBI 	-126669.4479	-126672.9330	-126662.2623	-126672.8313	-126662.1987	-126669.3472	-126669.3835
